Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2",D_SMA,2,D_Schottky,
"Q3, Q4",SOT-523_Custom(C96676),2,Q_PMOS_GSD,
R1,0805,1,1K,
R2,0805,1,2.2K,
